102057.8026,109522.0429,108203.7414,,a-b
170428.8953,109880.7344,151361.8167,,0.74046685
61634.66641,72810.69557,59826.04562,,0.847271515
35454.58751,49282.73635,40487.16778,,
160603.82,148844.8859,168130.101,,
123084.7485,136296.9518,163930.6211,,b-c
141552.7634,97253.31318,72778.0349,,0.481044808
27887.95742,31324.05265,41907.66609,,0.857517149
64667.60059,62282.63556,64955.43313,,
106863.6038,84003.9473,89145.41107,,
88963.78809,104554.3048,94271.07031,,a-c
164752.5876,86084.05982,91772.51474,,0.995847136
113052.3618,167166.2939,155320.2658,,0.997789868
147520.4637,200940.2175,205698.6564,,